timestamp,longitude,latitude,routine,start_at,end_at
1556582713087,127.3624792,36.3702101,CLASS,2019-04-30 09:00:00+09:00,2019-04-30 09:15:00+09:00
1556585347204,127.3624675,36.3702156,CLASS,2019-04-30 09:45:00+09:00,2019-04-30 10:00:00+09:00
1556586774094,127.3624272,36.370349,CLASS,2019-04-30 10:00:00+09:00,2019-04-30 10:15:00+09:00
1556586945903,127.3624028,36.3705059,CLASS,2019-04-30 10:15:00+09:00,2019-04-30 10:30:00+09:00
1556589943395,127.3625211,36.370524,CLASS,2019-04-30 11:00:00+09:00,2019-04-30 11:15:00+09:00
1556591880189,127.3624289,36.3704802,CLASS,2019-04-30 11:30:00+09:00,2019-04-30 11:45:00+09:00
1556593345640,127.3624966,36.3705059,CLASS,2019-04-30 12:00:00+09:00,2019-04-30 12:15:00+09:00
1556594150608,127.3637164,36.3691596,MEAL,2019-04-30 12:15:00+09:00,2019-04-30 12:30:00+09:00
1556595000999,127.3628589,36.36971,STUDY,2019-04-30 12:30:00+09:00,2019-04-30 12:45:00+09:00
1556595926999,127.3572251,36.3736963,INDOOR,2019-04-30 12:45:00+09:00,2019-04-30 13:00:00+09:00
1556596800999,127.3582115,36.373454,INDOOR,2019-04-30 13:00:00+09:00,2019-04-30 13:15:00+09:00
1556597729986,127.3629563,36.3732452,CLASS,2019-04-30 13:15:00+09:00,2019-04-30 13:30:00+09:00
1556598766753,127.3629643,36.3732324,CLASS,2019-04-30 13:30:00+09:00,2019-04-30 13:45:00+09:00
1556599674825,127.3629452,36.3732271,CLASS,2019-04-30 13:45:00+09:00,2019-04-30 14:00:00+09:00
1556600680023,127.362887,36.3731994,CLASS,2019-04-30 14:00:00+09:00,2019-04-30 14:15:00+09:00
1556601302000,127.3592217,36.3735861,MEAL,2019-04-30 14:15:00+09:00,2019-04-30 14:30:00+09:00
1556602379450,127.3572804,36.3736886,INDOOR,2019-04-30 14:30:00+09:00,2019-04-30 14:45:00+09:00
1556604642999,127.3573199,36.3736053,INDOOR,2019-04-30 15:00:00+09:00,2019-04-30 15:15:00+09:00
1556606475767,127.3572893,36.3736116,INDOOR,2019-04-30 15:30:00+09:00,2019-04-30 15:45:00+09:00
1556612417804,127.3572732,36.3736643,INDOOR,2019-04-30 17:15:00+09:00,2019-04-30 17:30:00+09:00
1556613283284,127.357279,36.3736575,INDOOR,2019-04-30 17:30:00+09:00,2019-04-30 17:45:00+09:00
1556614002118,127.3591081,36.3737159,MEAL,2019-04-30 17:45:00+09:00,2019-04-30 18:00:00+09:00
1556615603397,127.3590911,36.3737044,MEAL,2019-04-30 18:00:00+09:00,2019-04-30 18:15:00+09:00
1556617082428,127.3572887,36.3737339,INDOOR,2019-04-30 18:30:00+09:00,2019-04-30 18:45:00+09:00
1556617591758,127.3574191,36.3737462,INDOOR,2019-04-30 18:45:00+09:00,2019-04-30 19:00:00+09:00
1556620863891,127.3572956,36.3736447,INDOOR,2019-04-30 19:30:00+09:00,2019-04-30 19:45:00+09:00
1556637313230,127.357423,36.3737466,INDOOR,2019-05-01 00:15:00+09:00,2019-05-01 00:30:00+09:00
1556685048424,127.3636847,36.3691138,MEAL,2019-05-01 13:30:00+09:00,2019-05-01 13:45:00+09:00
1556685962793,127.3623821,36.3704148,CLASS,2019-05-01 13:45:00+09:00,2019-05-01 14:00:00+09:00
1556689664771,127.362377,36.3704564,CLASS,2019-05-01 14:45:00+09:00,2019-05-01 15:00:00+09:00
1556690425303,127.3623559,36.3704031,CLASS,2019-05-01 15:00:00+09:00,2019-05-01 15:15:00+09:00
1556694404212,127.3572978,36.3736033,INDOOR,2019-05-01 16:00:00+09:00,2019-05-01 16:15:00+09:00
1556707890137,127.3572848,36.3736079,INDOOR,2019-05-01 19:45:00+09:00,2019-05-01 20:00:00+09:00
1556708437199,127.3572652,36.3736946,INDOOR,2019-05-01 20:00:00+09:00,2019-05-01 20:15:00+09:00
1556709504758,127.3572709,36.3737102,INDOOR,2019-05-01 20:15:00+09:00,2019-05-01 20:30:00+09:00
1556711346627,127.3572473,36.3736018,INDOOR,2019-05-01 20:45:00+09:00,2019-05-01 21:00:00+09:00
1556712401969,127.3572655,36.373709,INDOOR,2019-05-01 21:00:00+09:00,2019-05-01 21:15:00+09:00
1556712906000,127.3572793,36.3738013,INDOOR,2019-05-01 21:15:00+09:00,2019-05-01 21:30:00+09:00
1556770870134,127.3629264,36.373227,CLASS,2019-05-02 13:15:00+09:00,2019-05-02 13:30:00+09:00
