user_id,openness,conscientiousness,neuroticism,extraversion,agreeableness
P3001,12,11,6,10,11
P3002,15,10,10,9,10
P3003,13,8,10,7,6
P3005,9,13,7,8,12
P3007,10,14,13,7,13
P3008,12,10,11,12,7
P3009,15,10,4,6,13
P3010,10,11,6,11,13
P3011,15,15,9,11,7
P3012,14,11,6,6,11
P3013,12,11,12,13,9
P3015,8,10,8,8,10
P3016,12,9,5,12,9
P3017,13,12,8,15,10
P3018,3,6,10,9,7
P3019,12,10,8,8,7
P3021,10,13,7,13,14
P3022,4,9,12,12,7
P3023,10,13,12,13,6
P3024,12,15,11,8,8
P3025,12,12,4,5,7
P3027,8,8,12,6,8
P3028,11,12,7,11,10
P3029,12,11,9,12,10
P3030,9,10,7,12,11
P3041,13,7,5,4,12
P0701,11,11,3,4,13
P0702,14,5,12,14,5
P0703,10,15,8,7,11
P0704,12,11,8,6,11
P0705,10,11,13,10,6
P0707,9,10,7,8,10
P0708,10,8,9,9,12
P0709,12,12,4,11,9
P0710,6,7,9,9,11
P0711,10,13,4,8,13
P0712,9,12,7,7,12
P0713,5,12,3,12,13
P0714,12,13,7,9,14
P0715,6,12,5,6,11
P0716,14,8,6,4,13
P0717,15,13,8,14,12
P0718,13,12,7,13,12
P0719,12,13,3,9,10
P0721,11,13,8,7,13
P0722,12,5,8,8,8
P0723,12,10,10,13,13
P0724,13,12,6,9,14
P0725,15,11,5,14,15
P0726,10,8,9,12,9
P0727,13,8,6,11,10
P0728,10,9,3,11,14
P0729,6,9,8,7,11
P1501,6,14,10,8,10
P1502,7,9,14,9,14
P1503,9,10,9,9,10
P1504,9,14,10,7,12
P1505,8,14,6,13,5
P1506,9,10,13,9,15
P1507,6,12,13,3,8
P1509,11,12,12,7,9
P1511,12,11,7,8,7
P1514,7,12,6,7,11
P1515,7,11,5,14,10
P1516,7,10,9,13,10
P1517,10,13,8,8,15
P1518,12,9,9,12,11
P1519,11,9,6,10,6
P1520,7,12,8,10,11
P1521,8,12,11,7,12
P1522,11,11,10,8,11
P1523,11,11,9,10,8
P1525,8,12,5,9,11
P1526,6,9,9,4,13
P1527,13,10,6,10,13
P1541,13,7,5,4,12
