,user_id,start_at,end_at,routine
0,P3024,00:00:00,00:15:00,SLEEP
1,P3024,00:15:00,00:30:00,SLEEP
2,P3024,00:30:00,00:45:00,SLEEP
3,P3024,00:45:00,01:00:00,SLEEP
4,P3024,01:00:00,01:15:00,SLEEP
5,P3024,01:15:00,01:30:00,SLEEP
6,P3024,01:30:00,01:45:00,SLEEP
7,P3024,01:45:00,02:00:00,SLEEP
8,P3024,02:00:00,02:15:00,SLEEP
9,P3024,02:15:00,02:30:00,SLEEP
10,P3024,02:30:00,02:45:00,SLEEP
11,P3024,02:45:00,03:00:00,SLEEP
12,P3024,03:00:00,03:15:00,SLEEP
13,P3024,03:15:00,03:30:00,SLEEP
14,P3024,03:30:00,03:45:00,SLEEP
15,P3024,03:45:00,04:00:00,SLEEP
16,P3024,04:00:00,04:15:00,SLEEP
17,P3024,04:15:00,04:30:00,SLEEP
18,P3024,04:30:00,04:45:00,SLEEP
19,P3024,04:45:00,05:00:00,SLEEP
20,P3024,05:00:00,05:15:00,SLEEP
21,P3024,05:15:00,05:30:00,SLEEP
22,P3024,05:30:00,05:45:00,SLEEP
23,P3024,05:45:00,06:00:00,SLEEP
24,P3024,06:00:00,06:15:00,SLEEP
25,P3024,06:15:00,06:30:00,SLEEP
26,P3024,06:30:00,06:45:00,SLEEP
27,P3024,06:45:00,07:00:00,SLEEP
28,P3024,07:00:00,07:15:00,SLEEP
29,P3024,07:15:00,07:30:00,SLEEP
30,P3024,07:30:00,07:45:00,SLEEP
31,P3024,07:45:00,08:00:00,SLEEP
32,P3024,08:00:00,08:15:00,SLEEP
33,P3024,08:15:00,08:30:00,SLEEP
34,P3024,08:30:00,08:45:00,SLEEP
35,P3024,08:45:00,09:00:00,SLEEP
36,P3024,09:00:00,09:15:00,SLEEP
37,P3024,09:15:00,09:30:00,SLEEP
38,P3024,09:30:00,09:45:00,SLEEP
39,P3024,09:45:00,10:00:00,SLEEP
40,P3024,10:00:00,10:15:00,SLEEP
41,P3024,10:15:00,10:30:00,SLEEP
42,P3024,10:30:00,10:45:00,SLEEP
43,P3024,10:45:00,11:00:00,SLEEP
44,P3024,11:00:00,11:15:00,SLEEP
45,P3024,11:15:00,11:30:00,SLEEP
46,P3024,11:30:00,11:45:00,SLEEP
47,P3024,11:45:00,12:00:00,SLEEP
48,P3024,12:00:00,12:15:00,SLEEP
49,P3024,12:15:00,12:30:00,SLEEP
50,P3024,12:30:00,12:45:00,SLEEP
51,P3024,12:45:00,13:00:00,SLEEP
52,P3024,13:00:00,13:15:00,SLEEP
53,P3024,13:15:00,13:30:00,SLEEP
54,P3024,13:30:00,13:45:00,SLEEP
55,P3024,13:45:00,14:00:00,SLEEP
56,P3024,14:00:00,14:15:00,SLEEP
57,P3024,14:15:00,14:30:00,SLEEP
58,P3024,14:30:00,14:45:00,SLEEP
59,P3024,14:45:00,15:00:00,SLEEP
60,P3024,15:00:00,15:15:00,SLEEP
61,P3024,15:15:00,15:30:00,SLEEP
62,P3024,15:30:00,15:45:00,SLEEP
63,P3024,15:45:00,16:00:00,SLEEP
64,P3024,16:00:00,16:15:00,SLEEP
65,P3024,16:15:00,16:30:00,SLEEP
66,P3024,16:30:00,16:45:00,SLEEP
67,P3024,16:45:00,17:00:00,SLEEP
68,P3024,17:00:00,17:15:00,SLEEP
69,P3024,17:15:00,17:30:00,SLEEP
70,P3024,17:30:00,17:45:00,SLEEP
71,P3024,17:45:00,18:00:00,SLEEP
72,P3024,18:00:00,18:15:00,INDOOR
73,P3024,18:15:00,18:30:00,INDOOR
74,P3024,18:30:00,18:45:00,SLEEP
75,P3024,18:45:00,19:00:00,SLEEP
76,P3024,19:00:00,19:15:00,SLEEP
77,P3024,19:15:00,19:30:00,SLEEP
78,P3024,19:30:00,19:45:00,SLEEP
79,P3024,19:45:00,20:00:00,SLEEP
80,P3024,20:00:00,20:15:00,SLEEP
81,P3024,20:15:00,20:30:00,SLEEP
82,P3024,20:30:00,20:45:00,SLEEP
83,P3024,20:45:00,21:00:00,SLEEP
84,P3024,21:00:00,21:15:00,SLEEP
85,P3024,21:15:00,21:30:00,SLEEP
86,P3024,21:30:00,21:45:00,SLEEP
87,P3024,21:45:00,22:00:00,SLEEP
88,P3024,22:00:00,22:15:00,SLEEP
89,P3024,22:15:00,22:30:00,SLEEP
90,P3024,22:30:00,22:45:00,SLEEP
91,P3024,22:45:00,23:00:00,SLEEP
92,P3024,23:00:00,23:15:00,SLEEP
93,P3024,23:15:00,23:30:00,SLEEP
94,P3024,23:30:00,23:45:00,SLEEP
95,P3024,23:45:00,00:00:00,SLEEP
