user_id,start_at,end_at,weekday,routine
P3027,00:00:00,00:15:00,2,INDOOR
P3027,00:15:00,00:30:00,2,INDOOR
P3027,00:30:00,00:45:00,2,INDOOR
P3027,00:45:00,01:00:00,2,INDOOR
P3027,01:15:00,01:30:00,2,INDOOR
P3027,01:30:00,01:45:00,2,INDOOR
P3027,01:30:00,01:45:00,3,INDOOR
P3027,01:45:00,02:00:00,2,INDOOR
P3027,02:00:00,02:15:00,2,INDOOR
P3027,02:00:00,02:15:00,3,SLEEP
P3027,02:15:00,02:30:00,2,INDOOR
P3027,02:15:00,02:30:00,3,SLEEP
P3027,02:30:00,02:45:00,2,INDOOR
P3027,02:30:00,02:45:00,3,SLEEP
P3027,02:45:00,03:00:00,2,INDOOR
P3027,02:45:00,03:00:00,3,SLEEP
P3027,03:00:00,03:15:00,2,INDOOR
P3027,03:00:00,03:15:00,3,SLEEP
P3027,03:15:00,03:30:00,3,SLEEP
P3027,03:30:00,03:45:00,2,SLEEP
P3027,03:30:00,03:45:00,3,SLEEP
P3027,03:45:00,04:00:00,2,SLEEP
P3027,03:45:00,04:00:00,3,SLEEP
P3027,04:00:00,04:15:00,2,SLEEP
P3027,04:00:00,04:15:00,3,SLEEP
P3027,04:15:00,04:30:00,2,SLEEP
P3027,04:15:00,04:30:00,3,SLEEP
P3027,04:30:00,04:45:00,2,SLEEP
P3027,04:30:00,04:45:00,3,SLEEP
P3027,04:45:00,05:00:00,2,SLEEP
P3027,04:45:00,05:00:00,3,SLEEP
P3027,05:00:00,05:15:00,2,SLEEP
P3027,05:00:00,05:15:00,3,SLEEP
P3027,05:15:00,05:30:00,2,INDOOR
P3027,05:15:00,05:30:00,3,INDOOR
P3027,05:30:00,05:45:00,2,SLEEP
P3027,05:30:00,05:45:00,3,SLEEP
P3027,05:45:00,06:00:00,2,SLEEP
P3027,05:45:00,06:00:00,3,SLEEP
P3027,06:00:00,06:15:00,2,SLEEP
P3027,06:00:00,06:15:00,3,SLEEP
P3027,06:15:00,06:30:00,2,SLEEP
P3027,06:15:00,06:30:00,3,SLEEP
P3027,06:30:00,06:45:00,2,INDOOR
P3027,06:30:00,06:45:00,3,INDOOR
P3027,06:45:00,07:00:00,2,SLEEP
P3027,06:45:00,07:00:00,3,SLEEP
P3027,07:00:00,07:15:00,2,SLEEP
P3027,07:00:00,07:15:00,3,SLEEP
P3027,07:15:00,07:30:00,2,INDOOR
P3027,07:15:00,07:30:00,3,INDOOR
P3027,07:30:00,07:45:00,2,SLEEP
P3027,07:30:00,07:45:00,3,SLEEP
P3027,07:45:00,08:00:00,2,INDOOR
P3027,07:45:00,08:00:00,3,INDOOR
P3027,08:00:00,08:15:00,2,SLEEP
P3027,08:15:00,08:30:00,2,SLEEP
P3027,08:15:00,08:30:00,3,INDOOR
P3027,08:30:00,08:45:00,2,SLEEP
P3027,08:45:00,09:00:00,2,SLEEP
P3027,09:00:00,09:15:00,2,INDOOR
P3027,09:00:00,09:15:00,3,INDOOR
P3027,10:00:00,10:15:00,1,CLASS
P3027,10:15:00,10:30:00,2,INDOOR
P3027,10:15:00,10:30:00,3,CLASS
P3027,11:30:00,11:45:00,1,CLASS
P3027,12:00:00,12:15:00,1,INDOOR
P3027,14:15:00,14:30:00,2,INDOOR
P3027,15:00:00,15:15:00,1,INDOOR
P3027,15:15:00,15:30:00,1,INDOOR
P3027,15:30:00,15:45:00,1,INDOOR
P3027,15:45:00,16:00:00,1,INDOOR
P3027,16:00:00,16:15:00,1,CLASS
P3027,16:15:00,16:30:00,1,CLASS
P3027,16:30:00,16:45:00,1,CLASS
P3027,16:45:00,17:00:00,1,CLASS
P3027,17:00:00,17:15:00,1,CLASS
P3027,17:15:00,17:30:00,1,CLASS
P3027,17:30:00,17:45:00,1,CLASS
P3027,17:45:00,18:00:00,1,CLASS
P3027,18:00:00,18:15:00,1,CLASS
P3027,18:15:00,18:30:00,1,CLASS
P3027,18:30:00,18:45:00,1,CLASS
P3027,19:00:00,19:15:00,1,CLASS
P3027,19:00:00,19:15:00,2,CLASS
P3027,19:15:00,19:30:00,1,CLASS
P3027,19:15:00,19:30:00,2,CLASS
P3027,19:30:00,19:45:00,1,CLASS
P3027,19:45:00,20:00:00,1,CLASS
P3027,19:45:00,20:00:00,2,CLASS
P3027,20:00:00,20:15:00,1,CLASS
P3027,20:00:00,20:15:00,2,CLASS
P3027,20:15:00,20:30:00,1,INDOOR
P3027,20:15:00,20:30:00,2,CLASS
P3027,20:30:00,20:45:00,2,CLASS
P3027,20:45:00,21:00:00,2,CLASS
P3027,21:00:00,21:15:00,2,CLASS
P3027,21:15:00,21:30:00,2,INDOOR
P3027,21:30:00,21:45:00,2,INDOOR
P3027,21:45:00,22:00:00,1,INDOOR
P3027,21:45:00,22:00:00,2,INDOOR
P3027,22:00:00,22:15:00,2,INDOOR
