,user_id,start_at,end_at,weekday,routine
0,P3029,00:00:00,00:15:00,4,INDOOR
1,P3029,00:15:00,00:30:00,2,INDOOR
2,P3029,00:15:00,00:30:00,4,INDOOR
3,P3029,00:30:00,00:45:00,4,INDOOR
4,P3029,00:45:00,01:00:00,4,STUDY
5,P3029,02:00:00,02:15:00,4,STUDY
6,P3029,09:00:00,09:15:00,1,CLASS
7,P3029,09:45:00,10:00:00,1,CLASS
8,P3029,10:00:00,10:15:00,1,CLASS
9,P3029,10:15:00,10:30:00,1,CLASS
10,P3029,10:45:00,11:00:00,4,INDOOR
11,P3029,11:00:00,11:15:00,1,CLASS
12,P3029,11:00:00,11:15:00,4,INDOOR
13,P3029,11:15:00,11:30:00,4,INDOOR
14,P3029,11:30:00,11:45:00,1,CLASS
15,P3029,11:30:00,11:45:00,4,INDOOR
16,P3029,11:45:00,12:00:00,4,INDOOR
17,P3029,12:00:00,12:15:00,1,CLASS
18,P3029,12:00:00,12:15:00,4,INDOOR
19,P3029,12:00:00,12:15:00,5,MEAL
20,P3029,12:15:00,12:30:00,1,MEAL
21,P3029,12:30:00,12:45:00,1,STUDY
22,P3029,12:30:00,12:45:00,5,MEAL
23,P3029,12:45:00,13:00:00,1,INDOOR
24,P3029,13:00:00,13:15:00,1,INDOOR
25,P3029,13:15:00,13:30:00,1,CLASS
26,P3029,13:15:00,13:30:00,3,CLASS
27,P3029,13:30:00,13:45:00,1,CLASS
28,P3029,13:30:00,13:45:00,2,MEAL
29,P3029,13:45:00,14:00:00,1,CLASS
30,P3029,13:45:00,14:00:00,2,CLASS
31,P3029,13:45:00,14:00:00,3,CLASS
32,P3029,14:00:00,14:15:00,1,CLASS
33,P3029,14:00:00,14:15:00,3,CLASS
34,P3029,14:15:00,14:30:00,1,MEAL
35,P3029,14:15:00,14:30:00,3,STUDY
36,P3029,14:30:00,14:45:00,1,INDOOR
37,P3029,14:45:00,15:00:00,2,CLASS
38,P3029,15:00:00,15:15:00,1,INDOOR
39,P3029,15:00:00,15:15:00,2,CLASS
40,P3029,15:00:00,15:15:00,4,INDOOR
41,P3029,15:30:00,15:45:00,1,INDOOR
42,P3029,15:45:00,16:00:00,3,STUDY
43,P3029,16:00:00,16:15:00,2,INDOOR
44,P3029,17:15:00,17:30:00,1,INDOOR
45,P3029,17:15:00,17:30:00,3,EXERCISE
46,P3029,17:15:00,17:30:00,4,INDOOR
47,P3029,17:30:00,17:45:00,1,INDOOR
48,P3029,17:30:00,17:45:00,3,EXERCISE
49,P3029,17:30:00,17:45:00,4,INDOOR
50,P3029,17:45:00,18:00:00,1,MEAL
51,P3029,17:45:00,18:00:00,3,EXERCISE
52,P3029,17:45:00,18:00:00,4,INDOOR
53,P3029,18:00:00,18:15:00,1,MEAL
54,P3029,18:00:00,18:15:00,3,EXERCISE
55,P3029,18:00:00,18:15:00,4,INDOOR
56,P3029,18:15:00,18:30:00,3,MEAL
57,P3029,18:15:00,18:30:00,4,INDOOR
58,P3029,18:30:00,18:45:00,1,INDOOR
59,P3029,18:30:00,18:45:00,3,INDOOR
60,P3029,18:45:00,19:00:00,1,INDOOR
61,P3029,18:45:00,19:00:00,3,INDOOR
62,P3029,18:45:00,19:00:00,4,INDOOR
63,P3029,19:00:00,19:15:00,0,INDOOR
64,P3029,19:00:00,19:15:00,3,INDOOR
65,P3029,19:00:00,19:15:00,4,MEAL
66,P3029,19:15:00,19:30:00,0,INDOOR
67,P3029,19:15:00,19:30:00,3,INDOOR
68,P3029,19:15:00,19:30:00,4,INDOOR
69,P3029,19:30:00,19:45:00,1,INDOOR
70,P3029,19:45:00,20:00:00,2,INDOOR
71,P3029,19:45:00,20:00:00,4,INDOOR
72,P3029,20:00:00,20:15:00,2,INDOOR
73,P3029,20:15:00,20:30:00,2,INDOOR
74,P3029,20:15:00,20:30:00,3,STUDY
75,P3029,20:15:00,20:30:00,4,INDOOR
76,P3029,20:30:00,20:45:00,3,STUDY
77,P3029,20:30:00,20:45:00,4,INDOOR
78,P3029,20:45:00,21:00:00,2,INDOOR
79,P3029,20:45:00,21:00:00,4,INDOOR
80,P3029,21:00:00,21:15:00,2,INDOOR
81,P3029,21:00:00,21:15:00,3,STUDY
82,P3029,21:00:00,21:15:00,4,INDOOR
83,P3029,21:15:00,21:30:00,2,INDOOR
84,P3029,21:15:00,21:30:00,3,STUDY
85,P3029,21:15:00,21:30:00,4,INDOOR
86,P3029,21:30:00,21:45:00,3,STUDY
87,P3029,21:45:00,22:00:00,3,STUDY
88,P3029,21:45:00,22:00:00,4,INDOOR
89,P3029,22:45:00,23:00:00,3,STUDY
90,P3029,23:15:00,23:30:00,3,STUDY
91,P3029,23:45:00,00:00:00,3,STUDY
