timestamp,user_id,longitude,latitude,routine,start_at,end_at,duration,weekday
1556582713087,P3029,127.3624792,36.3702101,CLASS,2019-04-30 09:05:13.087000+09:00,2019-04-30 12:03:29+09:00,10695.0,1
1556593550881,P3029,127.3636226,36.3691075,MEAL,2019-04-30 12:05:50.881000+09:00,2019-04-30 12:29:10.999000+09:00,1400.0,1
1556595310999,P3029,127.3575951,36.373436,INDOOR,2019-04-30 12:35:10.999000+09:00,2019-04-30 13:00:07.999000+09:00,1497.0,1
1556596912999,P3029,127.3620878,36.3732726,CLASS,2019-04-30 13:01:52.999000+09:00,2019-04-30 14:13:23+09:00,4290.0,1
1556601550999,P3029,127.3582365,36.3734637,INDOOR,2019-04-30 14:19:10.999000+09:00,2019-04-30 17:41:12.999000+09:00,12122.0,1
1556614002118,P3029,127.3591081,36.3737159,MEAL,2019-04-30 17:46:42.118000+09:00,2019-04-30 18:15:18+09:00,1715.0,1
1556615798000,P3029,127.3576566,36.3736459,INDOOR,2019-04-30 18:16:38+09:00,2019-05-01 13:19:40.686000+09:00,68582.0,1
1556684712058,P3029,127.3636752,36.3691124,MEAL,2019-05-01 13:25:12.058000+09:00,2019-05-01 13:40:11.999000+09:00,899.0,2
1556685755004,P3029,127.3623264,36.370357,CLASS,2019-05-01 13:42:35.004000+09:00,2019-05-01 15:49:00.999000+09:00,7585.0,2
1556693486999,P3029,127.3582692,36.3734751,INDOOR,2019-05-01 15:51:26.999000+09:00,2019-05-02 12:58:57.999000+09:00,76051.0,2
1556769613999,P3029,127.3620946,36.3733534,CLASS,2019-05-02 13:00:13.999000+09:00,2019-05-02 14:07:44+09:00,4050.0,3
1556773905999,P3029,127.3602641,36.3738434,STUDY,2019-05-02 14:11:45.999000+09:00,2019-05-02 17:16:25.369000+09:00,11079.0,3
1556784985369,P3029,127.3591307,36.3751705,EXERCISE,2019-05-02 17:16:25.369000+09:00,2019-05-02 18:02:57.538000+09:00,2792.0,3
1556787777538,P3029,127.3590721,36.3737625,MEAL,2019-05-02 18:02:57.538000+09:00,2019-05-02 18:25:12.805000+09:00,1335.0,3
1556789231734,P3029,127.3574257,36.3737348,INDOOR,2019-05-02 18:27:11.734000+09:00,2019-05-02 19:21:01.350000+09:00,3229.0,3
1556792526796,P3029,127.3603338,36.3740199,STUDY,2019-05-02 19:22:06.796000+09:00,2019-05-02 21:43:15.982000+09:00,8469.0,3
1556801704485,P3029,127.3602404,36.3743508,STUDY,2019-05-02 21:55:04.485000+09:00,2019-05-03 00:00:52.266000+09:00,7547.0,3
1556809252266,P3029,127.3575808,36.3736542,INDOOR,2019-05-03 00:00:52.266000+09:00,2019-05-03 00:43:46.024000+09:00,2573.0,4
1556811886991,P3029,127.3602469,36.3738812,STUDY,2019-05-03 00:44:46.991000+09:00,2019-05-03 02:09:42.472000+09:00,5095.0,4
1556817027823,P3029,127.3576733,36.3735499,INDOOR,2019-05-03 02:10:27.823000+09:00,2019-05-03 18:47:45+09:00,59837.0,4
1556876942000,P3029,127.3591425,36.3736377,MEAL,2019-05-03 18:49:02+09:00,2019-05-03 19:09:54.145000+09:00,1252.0,4
1556878344742,P3029,127.3572646,36.3737365,INDOOR,2019-05-03 19:12:24.742000+09:00,2019-05-04 12:13:04.975000+09:00,61240.0,4
1556939584975,P3029,127.3590995,36.3736738,MEAL,2019-05-04 12:13:04.975000+09:00,2019-05-04 12:35:46.461000+09:00,1361.0,5
1556940999714,P3029,127.359311,36.373748,MEAL,2019-05-04 12:36:39.714000+09:00,2019-05-04 14:46:57.840000+09:00,7818.0,5
1557134607999,P3029,127.3617913,36.3714029,MEAL,2019-05-06 18:23:27.999000+09:00,2019-05-06 18:44:26+09:00,1258.0,0
